"","V1_1","V2_1","V3_1","V4_1","V5_1","V6_1","V7_1","V8_1","V9_1","V10_1","V1_2","V2_2","V3_2","V4_2","V5_2","V6_2","V7_2","V8_2","V9_2","V10_2","V1_3","V2_3","V3_3","V4_3","V5_3","V6_3","V7_3","V8_3","V9_3","V10_3","V1_4","V2_4","V3_4","V4_4","V5_4","V6_4","V7_4","V8_4","V9_4","V10_4","V1_5","V2_5","V3_5","V4_5","V5_5","V6_5","V7_5","V8_5","V9_5","V10_5","V1_6","V2_6","V3_6","V4_6","V5_6","V6_6","V7_6","V8_6","V9_6","V10_6","V1_7","V2_7","V3_7","V4_7","V5_7","V6_7","V7_7","V8_7","V9_7","V10_7","V1_8","V2_8","V3_8","V4_8","V5_8","V6_8","V7_8","V8_8","V9_8","V10_8","V1_9","V2_9","V3_9","V4_9","V5_9","V6_9","V7_9","V8_9","V9_9","V10_9","V1_10","V2_10","V3_10","V4_10","V5_10","V6_10","V7_10","V8_10","V9_10","V10_10"
"V1_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V2_1",0,0.00143969297076089,-7.94699910866523e-05,-2.42191752780076e-05,-0.000209459682657258,0.00020922739763704,9.578636760777e-05,0.000191429888317397,0.000127611935330117,5.72673953309208e-05,-0.000525026082384951,0,1.19164580340658e-05,-6.24349829993771e-05,-0.000121136514981998,2.76836140276833e-05,-0.000209215195503088,-9.16309597111811e-05,-0.000113195524201588,5.74965873467076e-05,0.000353493351023047,-5.94911370321403e-05,0,5.81846419643792e-05,0.000169434552918244,0.000139768934415849,0.000184360638144349,0.000164612789532988,-8.57707722078343e-05,0.00023005104963181,0.000279219919246306,-0.000536091552319455,0.000629591646976174,0,4.43758611036305e-06,-6.55593361408425e-05,1.38972906331277e-05,0.000147814894382862,7.0085292543893e-05,-3.47347549630775e-05,0.000438303493969865,0.000455202739709776,-0.000769037816465181,0.000883831033344574,0,-2.5871702512772e-05,0.000256760800327676,-0.000133342763488171,5.57412954872163e-05,0.000148329514213912,-0.000591282772192642,-0.000117301938257371,-4.92383912765629e-05,0.000890888323524432,-0.000140515341805147,0,0.000109187180004308,-4.90038162057451e-05,9.77810729260653e-05,0.000133173037617719,8.8068764276227e-05,-0.000105630627576798,-0.000443496517770323,2.42078129811155e-05,-0.000273039339624382,-0.000324544921107041,0,-6.35594183019963e-05,5.38736462740989e-05,8.4744950158103e-05,1.99674480934295e-05,8.72591784795107e-05,0.000171065610933784,-7.76772485177022e-05,-0.00101300919069368,0.000846936329961611,0.00101754118326771,0,-0.00035008969588065,0.000312207200890461,0.000297086611948774,-0.000383288738404739,-0.00112190052057763,-0.000669924932294392,-0.00079587199080908,-0.000170766581599016,-0.00131120686421033,0.00121603102641918,0,-0.000136584958219868,0.00122329873990054,0.00036914296962484,-0.000610493569034535,-0.000170500219896177,-0.000404009751737305,-0.000736176868188745,-8.75977012331392e-05,0.000800823179038628,2.44862985409367e-05,0
"V3_1",0,-7.94699910866523e-05,0.00126191596284968,0.000173174988985004,8.62915974860624e-05,0.000172155585194173,0.000142898384027189,1.26436635150776e-05,7.60154875044562e-07,6.11241211095518e-05,-0.000910984927672765,0,0.000236560917094699,9.80557150144192e-05,-0.000138976728740545,0.000180916767804408,0.000114544333724546,4.84930713874956e-05,-2.768202888315e-05,0.000134816976067574,2.99182462555997e-05,-1.77507593887325e-05,0,7.1948592001892e-05,-2.98041691279969e-05,3.73800241995842e-05,-0.000105452180670134,-8.67928327843468e-05,0.000181688897707452,0.000212918220576902,-0.000166934056786008,-0.000131613922272082,0.000155578148219505,0,4.53011277445804e-05,3.0737380586903e-05,-0.000214334277806066,9.10400354717645e-05,3.23599713543935e-05,0.000209437025544693,0.000268228074173686,-0.00065661378719042,-3.47188762191218e-05,0.000174698114512461,0,0.000118537951862192,-0.000142847515585679,-0.000169275055230982,-0.000100319929845168,8.91863720321758e-05,0.000152835525171362,0.00015663855652094,-0.000244473947086007,1.85445861186526e-05,0.000933818901807641,0,1.16094985503962e-05,0.000130214334038936,2.47961148770238e-05,0.000282115119808485,3.47793411559812e-05,0.000145467071406439,0.000144247494728688,0.00076470349612022,0.000735872149586541,6.69695818664148e-05,0,0.000171635087848108,0.000209670592395112,0.000381293698132375,-0.00118796519170108,-0.000298191914311634,0.00024136167598581,0.000491356054280929,-0.000565230707254516,-0.000862654002644506,-0.000248720087358511,0,-1.43969680355008e-06,-6.722684535495e-05,0.000154770907530892,-0.000132356330244381,-0.000673285552768494,4.63955629101165e-05,2.92141112261057e-05,0.000207992243824464,0.000726108689333042,-0.000222475438262144,0,0.000120689178990121,-0.000540543815636762,0.000468173782639877,-0.000401281060564142,-0.000204824241903713,-7.18543697781971e-05,-0.000126277231651354,-0.000349448347629873,-0.000220453345560965,0.000193018222840869,0
"V4_1",0,-2.42191752780076e-05,0.000173174988985004,0.00183269987641519,-0.000150139132913566,-2.41893456606257e-05,0.000276735729197148,9.77305243492523e-05,-7.68214008290207e-05,0.000418513045978708,0.000328796304642605,0,0.000187440531631851,-8.57801769825541e-05,-0.000278864735522451,-6.54126985662476e-05,4.24600945702589e-07,1.69766313639343e-05,-2.0006517863508e-05,-8.97539890976794e-06,0.00223775173804967,0.000558063618340117,0,-0.000158925380963202,-0.00025568897991696,-0.00013819495611344,8.09289639716608e-07,2.34241256439795e-05,0.000162573735397079,-0.000132233428774399,-0.000811243609601097,-0.0012985386576028,0.000660221122329988,0,0.00028886244217824,1.63976599948464e-05,-0.000336883140890892,0.000208864158558922,-6.72087569087144e-05,0.000326534386252437,2.9001746767103e-06,-8.02375931863394e-05,0.000302334296031671,0.000518933532956365,0,-0.000267301804241044,0.000179121774888049,-0.000361156420323625,-0.000162390786942611,-0.000108165481210132,-7.75319502878868e-06,-0.000138551513673046,-4.31899470244314e-05,1.41517157153014e-05,-5.86056430701299e-05,0,-0.000177345248008398,-3.62205524444584e-05,5.34887166857987e-05,-5.27294780908443e-05,0.000280701800460665,1.56522949514528e-05,-0.00021191704070159,0.000300468570949394,-2.12511637945077e-05,-0.000576075905916475,0,-4.83998029658474e-06,0.000188959018019973,0.000140548351419398,-2.30610115574949e-05,0.000333609822470866,-0.000577851263037808,9.24899793768918e-06,-0.000589795887067898,-0.000397726357599778,0.000536079456829598,0,-3.15581179678953e-05,-0.000262163375664296,9.54912257124723e-05,0.000595939356005637,-0.000197433911050142,-0.000192594652036795,-0.000912368964457096,0.000672537024620206,-0.000725436882178304,-0.00112626841430858,0,0.000111302137908196,0.000180451767791906,0.000400678033158118,-0.00043068501655629,0.000348503526484459,-3.70501102995833e-05,-0.000794934444710516,0.000409200600467384,-0.000303994335445737,0.000124587209482498,0
"V5_1",0,-0.000209459682657258,8.62915974860624e-05,-0.000150139132913566,0.00136515347489468,0.000144691533070847,0.000104754768593296,9.52582037634379e-05,4.02169502398278e-05,-9.05524636469906e-05,9.79076068876763e-05,0,-3.87203405717303e-05,-5.79826895713001e-05,5.98728115945214e-05,0.000249664172357076,3.57950655281414e-05,-9.96768424393647e-05,3.85943338031221e-05,-7.72477813995327e-05,-0.000113524106770257,-0.000367556383799642,0,-2.27800176616969e-05,7.92957726752277e-05,0.000149304096004911,-1.56174543912848e-05,0.000147426683217933,2.3248395493484e-05,-4.34555546206663e-05,0.000143123925520149,-0.000753425568846349,0.000158310240640437,0,-0.000185988556131746,-6.1525678903218e-05,-0.000156483148252537,3.15571843933056e-05,0.000109522319665782,-8.4955218118861e-05,-0.0005117962282958,-0.000655505800152564,1.12074928387442e-05,0.000866553734329102,0,0.000104321125813757,-0.000200136665236927,2.68960845930609e-05,8.31046096356885e-05,-4.42106870953843e-05,0.00161060333757802,-4.36793989461703e-06,-0.000530560390732707,-0.000550747578012242,0.00060137414155165,0,0.00029635565492565,0.000235930356829274,-0.000105969623372629,0.000105341808869433,0.000365052435074421,-0.0002043028297217,0.000118030760182795,0.00024981324977083,0.00011153928146776,0.000323571549386093,0,-5.09772153950159e-05,6.0109793067264e-07,4.07249924938919e-05,-0.00016757852515135,-0.000880500963840999,0.000170903051770573,0.000687342223747985,0.000117373885026859,0.000162355834201193,0.000114451881615574,0,8.81862573074036e-05,-0.000144688879759236,-0.000444945131567342,0.00134057697869207,-0.000417254398232765,0.000285852280117255,4.65498466238619e-05,-0.00102016345896161,0.000559167663515263,0.000229293492035734,0,-0.000104794821254136,-3.0680756919653e-05,-0.000410505323281204,0.000406829379783492,0.000529984329886924,0.000432011955854346,-0.000115531358265441,-0.000123414392312501,0.000416650928639496,0.00047461261792489,0
"V6_1",0,0.00020922739763704,0.000172155585194173,-2.41893456606257e-05,0.000144691533070847,0.00138337591592617,0.000183436432610404,4.97707087237719e-05,0.000278040063665253,0.000365904347450366,-9.53927050552756e-05,0,0.000121208139579774,-6.87353458102826e-05,-0.000216003900707454,0.000185384235256246,-0.000271319509748005,5.01036524548525e-05,1.87140529120684e-05,1.44475768182381e-06,0.00047114177979566,-1.43468698167679e-05,0,0.000207737565268741,3.79263173790316e-05,-0.000116420767904458,8.09950998837231e-05,0.000153716983021329,8.04779472053795e-05,0.000268332045112516,-0.000377306581118884,-0.000893383272613008,0.000321587364382896,0,3.12782318228406e-05,-2.89945361467881e-05,-0.000116873560253898,0.000152600703111142,0.0001870530717761,0.000334652802443767,-0.000311883242976109,0.000351943161684498,4.77235015704157e-05,0.00126036463529379,0,0.000294551434320946,-5.11107803777566e-05,-0.0001823545979423,2.03279680123258e-05,8.38406916137611e-05,0.00062582843453523,0.000122672763174095,-0.000195216267633689,-0.000354302561170502,0.000488903801970258,0,0.000212192279047368,5.13231969702374e-05,0.000109468801231933,9.20112840531362e-05,-2.11043909363059e-05,-8.75049680365276e-05,0.000482065019353961,0.000347128993072736,-0.00015725543458296,-5.8387423877648e-06,0,0.000170029897551518,0.000471168519463359,0.00027987969335866,0.00084497144990907,-0.000408332432102695,0.000459607472402879,0.000304381321834352,0.000230499184832135,0.000755644088799675,-0.000584617622405194,0,-0.000327868549596177,-6.84803425121846e-05,-0.000234864972740631,-0.000301975021397135,-0.000265776946961182,-0.000314012048150902,-8.39768373363909e-06,-0.00104733079913345,-0.000363815460383113,-7.04438997394575e-05,0,-8.75401677734386e-05,0.000675147035519262,0.00050547125222708,-0.000970032112708946,0.000165790520596528,0.00013413200714205,9.23633680190365e-05,-0.000166863964369538,0.000799134617040764,-0.000409266426889985,0
"V7_1",0,9.578636760777e-05,0.000142898384027189,0.000276735729197148,0.000104754768593296,0.000183436432610404,0.00123307278487212,-1.18219853511658e-05,-1.84487942221145e-05,0.000213699736456613,0.000753293066147123,0,0.000125681768062487,0.000113626523653668,0.000169127195398094,0.00030244255943791,9.3113143816238e-05,2.57272884371351e-05,7.9739515393673e-05,-0.000159347903879908,-0.000493210746243949,0.000463171788385999,0,4.95381675982373e-06,-0.00010224226144884,-4.01396834450811e-05,1.65139095788489e-05,-7.59869359408115e-05,-1.71785556113548e-05,-3.85174943008461e-05,0.000492410947259856,-0.000621345015195646,-0.000659681069192752,0,2.40666846898903e-05,-3.5221806371643e-05,-4.963844105235e-07,0.000117206116148535,6.06454079567348e-05,3.00287648052439e-05,-7.88303448930505e-05,-0.000402518284237409,-0.000347265740884462,-0.000871011620718206,0,1.57723957065404e-06,-3.11965380610091e-05,-8.98355867977264e-05,-0.000170818847118569,2.72595828156947e-05,0.000377465129991979,0.000257233039770797,-0.00131838382103026,0.00055840056417575,0.000542746981300959,0,1.91008910441724e-06,-1.78566710094723e-05,6.28650096384452e-05,5.33689560694006e-05,-0.00105497372203603,3.17533948555771e-05,3.79676068966615e-05,6.80392220486447e-05,-0.000156316076452853,-0.000315282133113091,0,3.51991111799672e-05,0.000280451592188621,-6.48610726585631e-05,0.000349266530888764,0.000404992306701318,-0.000208964208564202,-5.97967576975317e-05,-0.000627561513241648,0.00035869749566456,0.000404254530227628,0,-0.000172152320457956,-7.81140237625575e-05,-0.000759862824351373,-4.53672509578952e-05,-2.30522578600705e-05,-0.000691280162775913,-0.000538991001863444,0.000377565412103825,0.000118891543650367,-0.000342370506772207,0,-0.000174311282024491,0.000298540044928204,0.000751206096423562,-0.000398903383016079,-0.00143720127130538,-0.000369023106730043,-7.72654853897725e-05,-0.000488755984480548,-0.000627163111012658,0.000605825096106824,0
"V8_1",0,0.000191429888317397,1.26436635150776e-05,9.77305243492523e-05,9.52582037634379e-05,4.97707087237719e-05,-1.18219853511658e-05,0.00163024578301528,0.000132457734722884,-6.73916866897044e-05,0.00043154128599347,0,0.000166005950157612,-0.000129622249778695,0.000120311775520579,-0.000242350433425608,-0.000143434013827564,-6.14096681807507e-05,0.000107062288940276,-4.94378223738197e-05,0.00143813377839481,0.000510880791407814,0,0.000118483251016368,0.000130085785642192,8.04416163073536e-05,0.000235930668068301,0.000100906046734102,1.00800196206212e-06,0.00035395109695379,0.000961022854107297,-0.000410812571538875,0.00107958461911027,0,-7.59326423722291e-05,-0.000298688911229575,-0.000449562016070296,-0.000147619828023628,1.60295969598812e-05,-7.88965586764314e-05,-0.00097186628288532,0.000150026966736612,-0.000533724001757761,3.20229872504907e-06,0,5.34289777367719e-05,-0.000164033928937522,-1.26071432850635e-05,5.20026331639323e-06,-6.0384223649186e-05,0.000882947356091542,-0.000486521823394238,-0.000508126153659553,-0.000318504469789428,-1.66947262962116e-05,0,-9.0939959749222e-05,5.97917363463516e-06,-0.000245559718138085,0.000320955352239607,0.00131289856829988,-0.00014132891988998,0.00023580728629691,0.000417506316603059,0.000422893726374487,-0.00093048384661637,0,1.77448464130039e-05,-4.69425523078646e-05,0.000184269726534391,-0.000332117065668948,0.000974235301109054,-0.000513768361049805,4.10053069928383e-05,0.000718927262073035,0.000128827042015653,-0.000396443811349073,0,-0.000379781427021217,-2.19908135416663e-05,-0.000808447987650346,-0.000515095636911686,-8.14108884321564e-05,0.000678150631642799,0.000620815375095544,-0.00072472751258269,-4.17687451123101e-05,0.000643060750545086,0,6.89440582952374e-05,-0.000331590231970045,-3.94431074619534e-05,-0.000447856108158666,0.00125181203610607,-0.00028121425059706,-0.000824761760012218,-0.000326125197700203,0.00112264511290737,0.000650048092036988,0
"V9_1",0,0.000127611935330117,7.60154875044562e-07,-7.68214008290207e-05,4.02169502398278e-05,0.000278040063665253,-1.84487942221145e-05,0.000132457734722884,0.00146742010354527,3.07367501309009e-05,-0.00110395225703157,0,0.000132809719403068,-0.000185223501841115,0.000132291192191703,-0.000117767574154233,-0.000227446084173016,-0.000396882499541995,-0.000149090254501281,6.91984219830057e-05,0.000579551215847866,5.33449327976131e-05,0,0.000137186501364046,0.00010296343489218,-7.58645483033216e-05,-4.29284748496246e-06,0.000119429681987432,3.63543924864797e-05,-0.000243869960795153,6.83180091433355e-05,0.00049992539309535,-0.000822288497418456,0,-0.000131450026229023,-0.000121111712271198,6.96851897678526e-05,0.000165121327003487,0.0001060506071038,0.000329344362386971,-0.000361478923770365,0.000243634324539597,-9.17722018463994e-06,0.000500421867312819,0,3.26412118808582e-05,0.000106717686422444,-3.50578813854812e-05,0.000212605572210417,0.000188306560088749,0.000124157734125108,-0.000201753215015818,-0.00123020886384797,-0.000446229775213457,0.000207264348819782,0,-6.01447039017072e-05,6.26884138849044e-05,-0.000135097078506834,0.000155992264225045,4.46167233714059e-05,-0.000396141770421249,0.000112840630576648,-4.27479354156945e-05,1.05834613820323e-05,1.95772202943442e-05,0,-0.000202803046371885,0.000293971355185753,-1.20409486355276e-05,0.000175568979222552,-0.000278899255271671,3.03987346194487e-05,0.000192447957073919,0.000104781258969414,0.000246910425408362,0.000547736375555327,0,-0.000259061582860054,0.000336034235125012,-0.000118327317978159,-0.00105443532747636,-0.000748775400538755,-0.000469620911999165,0.000178040359413835,-0.00135764756756311,-0.000510043753805674,-0.000444001006912502,0,-0.000227000947573741,7.50572738814134e-05,0.000157192342924582,-0.000995354297298872,-0.000431176251884548,0.000947105621507128,0.000250738159266838,-0.000492790994780561,0.000144031481689226,-0.000262611178379104,0
"V10_1",0,5.72673953309208e-05,6.11241211095518e-05,0.000418513045978708,-9.05524636469906e-05,0.000365904347450366,0.000213699736456613,-6.73916866897044e-05,3.07367501309009e-05,0.00142933284155899,0.000242092051742043,0,7.57132544821576e-05,8.83025911103696e-05,-0.000249336637732367,0.00020461322392426,-0.000393252772676161,3.02794963746084e-05,0.000181436150453267,-0.000177463117097803,-0.000101283532367431,-0.000650294869807799,0,-0.000103704886947653,-0.000128276272254202,-0.000172249257981083,7.12281117207933e-05,-0.000143768863557592,-1.67088502048183e-05,5.99278060374315e-05,-0.000415953110872608,-9.72322526189065e-05,-0.000482236367850461,0,0.000313222262387192,7.91049877772603e-05,-0.000116588862975425,0.000169074561023504,0.000219189574240647,0.000280466189224564,0.000649061820507378,0.000234839754351738,-0.00021106539674027,0.000346838285540227,0,5.23565200132076e-05,0.000200289042803428,-0.00015799620170931,-0.000103100364928172,0.000144486327112305,8.00742720235567e-05,0.000132334278747474,-0.00096247593932342,-0.00035642341109119,4.92563672470424e-05,0,0.000108726954284179,-0.00013891408871278,-9.03608844287073e-06,7.0581300822909e-05,-0.000725669935776024,0.000299165432710433,0.000894662742931201,3.67040344839546e-05,-0.000323397233627242,0.0001340003498973,0,0.000202192359466037,0.000232676381749215,-1.00459279406089e-06,-0.000616368655158633,-0.000356100379008643,0.000715771986786661,0.000120658417896244,3.2606359817842e-05,5.0859043650243e-05,0.000111996768120927,0,1.81189362572715e-05,-0.000184877398308434,-0.000567795967223161,-0.000150782029819474,-0.00080613337119989,0.000412527047233244,0.000585729973974364,-0.000241807419248634,-0.00114331829244275,-0.001029350995716,0,-5.19771308344328e-05,0.000179936600175402,0.000559449418890627,-0.00132881524508993,-0.000281304756050035,0.00130996695048346,0.00019459259213127,-0.000179680344125521,0.000355520477873647,-1.22297855317961e-07,0
