"","V1_1","V2_1","V3_1","V4_1","V5_1","V6_1","V7_1","V8_1","V9_1","V10_1","V1_2","V2_2","V3_2","V4_2","V5_2","V6_2","V7_2","V8_2","V9_2","V10_2","V1_3","V2_3","V3_3","V4_3","V5_3","V6_3","V7_3","V8_3","V9_3","V10_3","V1_4","V2_4","V3_4","V4_4","V5_4","V6_4","V7_4","V8_4","V9_4","V10_4","V1_5","V2_5","V3_5","V4_5","V5_5","V6_5","V7_5","V8_5","V9_5","V10_5","V1_6","V2_6","V3_6","V4_6","V5_6","V6_6","V7_6","V8_6","V9_6","V10_6","V1_7","V2_7","V3_7","V4_7","V5_7","V6_7","V7_7","V8_7","V9_7","V10_7","V1_8","V2_8","V3_8","V4_8","V5_8","V6_8","V7_8","V8_8","V9_8","V10_8","V1_9","V2_9","V3_9","V4_9","V5_9","V6_9","V7_9","V8_9","V9_9","V10_9","V1_10","V2_10","V3_10","V4_10","V5_10","V6_10","V7_10","V8_10","V9_10","V10_10"
"V1_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V2_1",0,0.00150858247537629,0.0001411187649262,0.000143822732373901,0.000151388650087624,0.000131433058260734,0.000128267273901473,0.000137105533563785,0.000116688745965583,0.000136319788611467,-2.87800114855677e-05,0,-2.15439706032931e-05,-4.36041625191329e-05,-4.97796589844862e-05,-3.21888556082242e-05,-4.40568990002637e-05,-4.22835061446543e-05,-2.75534020646202e-05,-4.14969191466259e-05,-2.43822516531781e-06,-5.43929637556411e-07,0,7.03436833744363e-06,1.49493766242857e-05,-1.03867982977487e-05,1.55318844070689e-05,4.35014009579063e-05,7.38823835604091e-06,2.37609236654474e-05,2.82416567902151e-05,0.0007631710307053,5.75876770816501e-05,0,9.5529012016585e-05,5.82276580201447e-05,7.98315149066329e-05,4.99410658322524e-05,6.62357072903351e-05,8.54955559046855e-05,-5.32299260195219e-06,8.13583702731033e-06,1.35407907062908e-05,1.1184160810791e-06,0,3.32534094638314e-06,-1.37189242896484e-06,6.83363771836366e-06,-4.27182229017667e-06,3.49451577332533e-06,1.40924482489756e-05,3.72943959219687e-06,1.36567171125911e-05,9.06271046013861e-06,2.29038730465577e-05,0,2.01252559865325e-05,2.52086943888802e-05,3.94978154659706e-05,-1.30989256246755e-06,2.49770541408288e-05,2.29101390305929e-06,-1.8309496341964e-06,1.1099901580741e-06,2.84429816783502e-05,2.32280439293025e-06,0,5.1897812835929e-06,-2.16931006877291e-06,2.24699850556335e-05,-1.83680368433574e-05,-0.000489966225246241,-4.96683998955718e-05,-6.10974009948873e-05,-5.90495156684907e-05,-2.23040362053517e-05,-4.2947926517685e-05,0,-4.75362872158351e-05,-6.40946889642892e-05,-1.08470309515806e-05,-1.1143836552459e-05,1.88988837323908e-05,9.84324271542205e-06,-8.26568985090498e-06,3.13078734406716e-07,-1.18771103475576e-05,1.55919861503706e-05,0,1.13740039624399e-05,-4.22032279337605e-06,-0.000484620638925915,-5.52651084733303e-05,-4.8055053470997e-05,-4.41771502602786e-05,-5.31658278794447e-05,-4.23492494879088e-05,-3.63190507371693e-05,-2.12861597378324e-05,0
"V3_1",0,0.0001411187649262,0.00150172697734008,0.00014019840760979,0.000132368790235899,0.000169821357205355,0.00013283960273992,0.000148022191009601,0.000166558056549488,0.0001616076946679,3.05228823483273e-06,0,-0.000512563247158038,-5.79345714625132e-05,-3.75225250127141e-05,-5.99887819946936e-05,-4.41653834268603e-05,-5.46666980571136e-05,-4.55825421930816e-05,-5.09487241905351e-05,-2.05191004126665e-05,-1.6399293369047e-06,0,2.47032850742166e-05,-3.97166879302336e-06,2.37635255013016e-05,1.94454606144306e-05,2.55594519192221e-05,1.25272659410985e-05,1.52202044475171e-05,2.1906320059866e-05,9.14134954582804e-05,0.000773771907427284,0,6.37298560769738e-05,9.67622726731917e-05,7.94973292013096e-05,9.67111313584953e-05,8.22223388995198e-05,9.70415638181157e-05,5.94419402759702e-06,-1.22792418314053e-05,-1.11774602746042e-05,3.10325382319002e-06,0,-1.21853599399953e-05,2.43067230757243e-05,1.68317413355319e-05,-6.73201771679932e-06,-6.84203126041201e-06,2.40200286334975e-05,1.18212547800772e-05,1.20771437183992e-06,1.354111365736e-05,4.24442032333816e-06,0,-2.759627391897e-06,2.12210886269476e-05,-3.19870128696039e-05,2.08751243951613e-05,1.93379203323711e-06,-1.14907694574673e-05,-6.56706196903678e-06,7.0546631097646e-06,-3.14068817123115e-05,-2.15826539709284e-05,0,3.61631390483034e-06,-1.20799469670205e-05,2.3836704856535e-05,-6.61108862458446e-06,-4.48008104737759e-05,-0.000574698834605376,-7.34074218651582e-05,-6.12758226085591e-05,-4.60047029960101e-05,-8.32043560865607e-05,0,-7.91147358402533e-05,-6.2324727761142e-05,-7.99139947785798e-06,1.08254082169156e-05,2.05851043369229e-05,5.00062033541404e-06,9.09798825078175e-06,-2.7101205911799e-05,-4.57705029684512e-06,-4.10367404171506e-06,0,-6.30249672759154e-06,-1.89041910015394e-06,-3.62903297794207e-05,-0.000487351326410539,-3.34388399603082e-05,-4.41181170479065e-05,-6.00064253876811e-05,-4.53847839975637e-05,-5.21226888695988e-05,-2.48653884017662e-05,0
"V4_1",0,0.000143822732373901,0.00014019840760979,0.0015292107533615,0.000143603686383377,0.000129071389288839,0.00013456740979469,0.000162077738364789,0.000149424570474818,0.000143139267700784,2.03322038790654e-05,0,-3.3211039948787e-05,-0.000519628948334891,-4.69797326424152e-05,-3.71774800571137e-05,-2.40778681572938e-05,-4.86750411950453e-05,-2.37104202779726e-05,-3.54875354431655e-05,-2.82947545036014e-05,-1.71977663607323e-05,0,0.000157432662210469,4.01861681062602e-06,2.94169264848253e-05,1.69447269523824e-05,1.85072858538936e-05,2.44818602197204e-05,1.90889968849848e-05,-5.28157615945921e-07,6.41051724888885e-05,7.97382110402846e-05,0,7.48132884941275e-05,6.48276627907037e-05,5.90897618499917e-05,6.89597100700468e-05,8.17234598388529e-05,8.26578427180204e-05,1.30236577091152e-05,4.95074273542882e-06,-3.25498631087755e-06,2.36913032313467e-05,0,-1.4388146528746e-05,9.145728677257e-06,3.05496949103958e-05,2.41268341001317e-05,3.01161225749505e-06,2.07823305137384e-07,-4.31550443098036e-07,1.02333305127989e-05,2.57480525800392e-05,2.77900045569061e-05,0,3.6875582262448e-06,3.22699949274924e-05,3.32698246115519e-05,-1.4662351586316e-05,1.41321756031597e-05,1.19754783696298e-05,-9.90099034161758e-06,1.10413660644266e-05,4.78240052664549e-06,-1.1616234013761e-05,0,1.68762740453133e-05,-1.52377832254328e-06,-1.4598992419813e-05,-1.56687842357e-05,-2.19236110698235e-05,-6.15175099036797e-05,-0.000605700702442242,-6.01402350986122e-05,-5.43610331648669e-05,-4.7171962512316e-05,0,-3.83622406918599e-05,-5.826663382837e-05,-6.57032523260656e-07,3.97526219743344e-06,2.79982864197099e-05,-1.41302307942253e-05,-2.84567904035267e-05,-2.79797245487558e-05,8.55952914390593e-06,-1.97835020376828e-05,0,-1.80820844636482e-05,-6.73928318037236e-06,-3.63931320941157e-05,-4.21958097234266e-05,-0.000502225246682971,-6.35751741453061e-05,-3.73971560032402e-05,-2.65092546013882e-05,-4.14960601580372e-05,-5.06371694075475e-05,0
"V5_1",0,0.000151388650087624,0.000132368790235899,0.000143603686383377,0.00155515047017071,0.000157959314763746,0.000165210901174256,0.000112338457744064,0.000164711065256467,0.000154496119512528,5.43135800969083e-06,0,-3.66065701000746e-05,-3.06358917127357e-05,-0.000526321905124693,-3.99444345763337e-05,-3.54706422981138e-05,-2.97660175058029e-05,-5.19477919280867e-05,-4.95466384096202e-05,5.24427192725413e-06,1.02790243227466e-05,0,3.14071852982884e-05,0.000132989843896512,-1.97384505422733e-06,1.54403388595347e-05,-2.57163245946019e-05,2.75261685244194e-05,2.13114896511272e-05,-1.94295242382839e-06,7.64567544402178e-05,4.89079075563453e-05,0,0.00079618340599809,6.67346678794599e-05,0.000102484407689648,4.78056428509186e-05,7.76941000855621e-05,5.86091219000572e-05,8.83431558604712e-06,6.19490329645738e-06,4.78587757279618e-06,2.13951244389817e-05,0,-1.29347949508978e-06,-3.11764224684564e-06,1.87429614779899e-05,-3.01080160437795e-05,-3.48653130142798e-07,1.37554405729242e-05,-7.19196772671996e-06,3.62821423422373e-06,1.54388263631316e-05,2.8511109321608e-06,0,-1.18615054634361e-05,8.17175729358107e-06,1.60998334005831e-05,1.4261370481177e-05,-2.5508978342285e-06,1.64002623233137e-05,-2.31375100411277e-05,-3.55186715247618e-06,-9.54505091855986e-06,-2.31272052690007e-05,0,2.17326962618767e-06,-1.11988475082492e-05,6.8016173086594e-06,1.37082264989918e-05,-4.46768289297514e-05,-5.35985749438746e-05,-5.47749369043315e-05,-0.000602557815787576,-7.36061116723688e-05,-3.13597186192216e-05,0,-5.19219496307932e-05,-6.5699098849254e-05,2.96175951160163e-06,-3.28212006026917e-06,1.86018034319699e-05,2.20415324840728e-06,1.57652470735622e-05,2.62702846208226e-05,2.38651268218059e-05,1.03774733408841e-05,0,2.930297097932e-07,-6.14872903283654e-06,-4.64816224292277e-05,-3.39392890095773e-05,-6.47019697455597e-05,-0.000521447451330013,-6.47630804730879e-05,-5.36125669191263e-05,-5.12487217730919e-05,-5.11688647108136e-05,0
"V6_1",0,0.000131433058260734,0.000169821357205355,0.000129071389288839,0.000157959314763746,0.00154947328588133,0.000128422677747226,0.00016075323991446,0.000151603294694224,0.000145658903064976,-1.63748574215798e-05,0,-6.60211752532612e-05,-4.05476366013559e-05,-6.48968849698978e-05,-0.000506909913117996,-4.10026326224333e-05,-4.92874956512895e-05,-7.02610526271121e-05,-4.01879096294277e-05,5.85030780029611e-06,2.72580020116047e-05,0,3.14523323451762e-05,1.92021814755543e-05,0.000145600188919916,1.10834301688978e-05,1.9787405632586e-05,2.3908267125828e-05,1.00614719691629e-05,1.24776936244422e-05,4.56611756968644e-05,8.88883938128531e-05,0,7.22469877872332e-05,0.000791403831553004,6.02113821037635e-05,7.45011168318361e-05,5.34546777162842e-05,6.99995563707915e-05,-3.13713990476654e-07,6.40894291579477e-06,-6.47534050013196e-06,2.28343731056657e-06,0,1.43077556075199e-05,-1.64163571251811e-05,-1.84463133027823e-05,-2.0501403703233e-05,1.42199624506156e-05,8.57150395042385e-07,3.49712453201177e-07,5.12423929675315e-07,-1.33182569371264e-05,2.12640219852258e-05,0,-2.88328027487002e-05,-5.70710558414755e-06,1.30855661199408e-05,1.72737410070956e-05,-7.16391744868297e-07,1.08599985168631e-05,-7.75676430534352e-06,-6.15273211363111e-06,2.59569114060943e-05,3.50770360169963e-05,0,1.2649206810823e-05,-6.79647774081874e-06,-2.27647918304124e-06,-1.79587087083991e-05,-4.77054799807535e-05,-7.23315068930616e-05,-3.32338704210474e-05,-4.73789900634256e-05,-0.000621410210618996,-5.20574202979688e-05,0,-7.032612554104e-05,-6.29034200944189e-05,-9.51724574107116e-06,3.96001298302306e-06,1.60432113442307e-05,-4.53552464567311e-06,2.04812245182668e-05,-2.89327882315842e-05,2.34114646187317e-05,1.67990931550173e-05,0,-9.04843150766177e-06,5.23533053232562e-06,-3.57753963179521e-05,-4.17097169853595e-05,-4.82488580856394e-05,-7.50108504570006e-05,-0.000523775476191246,-2.60238975111228e-05,-6.28560901342875e-05,-4.63823683192586e-05,0
"V7_1",0,0.000128267273901473,0.00013283960273992,0.00013456740979469,0.000165210901174256,0.000128422677747226,0.0015551153441172,0.000130798465894695,0.000149418297954745,0.000183580684375278,-8.57178834904356e-06,0,-5.64208074263682e-05,-3.79772389504228e-05,-6.07206356657114e-05,-4.70232268104119e-05,-0.000543805327096402,-4.38897246254779e-05,-7.8048302271077e-05,-4.0447395375065e-05,-7.23871384215151e-06,3.49021267125766e-06,0,2.55430584426523e-05,1.68592856401135e-05,2.7759738109089e-05,0.000135169351350016,2.34124430882597e-05,3.27962668512144e-05,4.31386715882576e-07,8.39029378716308e-06,6.63688531221571e-05,5.97552617047834e-05,0,8.94805230052937e-05,7.50308489881201e-05,0.000797800634023918,6.93041307327779e-05,5.79188102970572e-05,0.000100664639086003,-1.52675780005296e-05,-3.20052648267921e-06,-1.87283569475515e-05,-8.84160471580119e-06,0,1.64626410028428e-05,-1.30039509301343e-05,3.19829816306838e-05,5.40156590185472e-06,1.57520653901889e-05,2.24190451878479e-06,-1.82902645941778e-05,-1.06821794920786e-05,8.19452928883328e-06,-8.64712338587979e-06,0,1.38709072488927e-05,-5.23313507122665e-06,3.42642262704771e-05,2.13649161176549e-05,-1.13055001997884e-05,2.19356298310181e-05,-4.32842788604608e-07,-2.84664898523685e-05,-6.26006663614058e-06,-9.18667004629494e-06,0,1.42704093465211e-05,-9.40925449889403e-06,-1.41855608427139e-05,-4.60110756123749e-06,-3.26721142339964e-05,-6.9570021960098e-05,-3.98361515621277e-05,-6.74242520027365e-05,-4.8171980530223e-05,-0.000612185469068203,0,-4.57194994475641e-05,-3.5461446352381e-05,-2.16943677949318e-05,5.55290988851896e-06,-3.93912630853379e-06,9.58468367954653e-06,-2.63072959692653e-06,9.03861543510365e-06,1.50400661690971e-05,3.44142546581302e-06,0,-7.70428471278227e-06,-9.0043778930689e-06,-2.94860827450156e-05,-3.28651454685215e-05,-3.57725315893452e-05,-5.09341902974123e-05,-3.63875785237284e-05,-0.000523882600925161,-6.19298992135396e-05,-7.04786384725901e-05,0
"V8_1",0,0.000137105533563785,0.000148022191009601,0.000162077738364789,0.000112338457744064,0.00016075323991446,0.000130798465894695,0.00160281366451005,0.000143536418409356,0.000138766799847042,-6.61558935877738e-06,0,-4.32467812104798e-05,-5.05074969778247e-05,-2.06240219042018e-05,-5.99875078959087e-05,-3.56896507527766e-05,-0.000556835775403876,-3.98237766767989e-05,-3.45195063664947e-05,9.21397638787644e-06,-9.42545705377246e-06,0,4.1537151260311e-05,3.23171660119644e-05,1.4119448551964e-05,1.03157139763804e-05,0.000161526183875166,2.97315142166857e-05,9.60261817462055e-06,1.55026822983299e-05,9.19338192051455e-05,7.71431041720197e-05,0,4.83973979463258e-05,8.93644856893138e-05,8.03555542588853e-05,0.000828623250719075,8.05998056274085e-05,9.12714575176083e-05,-2.84963934088605e-05,4.2639852032003e-05,1.64461606708338e-06,-9.3115250875201e-06,0,-1.68131115817385e-06,1.7743076029164e-05,2.4156265543333e-05,-2.83986072723387e-06,2.17072395414465e-06,-2.80355802274945e-06,2.70475185515049e-05,1.75006701543705e-05,-2.12338613685465e-05,1.68713081454951e-05,0,-4.38855824030008e-06,3.20496678676666e-05,-2.25067863341693e-06,1.25690255869101e-05,1.33278049716094e-05,3.53237168707081e-05,-4.11055322655376e-06,-1.97493247600482e-05,-1.93453915649797e-06,-1.2484472241215e-06,0,1.52836602267314e-05,2.87778261501176e-05,2.38734742811848e-05,2.20640028529106e-07,-3.43214250976126e-05,-5.16557689157545e-05,-7.75312407273088e-05,-1.51582631522715e-05,-5.55066955509774e-05,-5.16533849787075e-05,0,-3.3179771314432e-05,-6.65014783141276e-05,-2.12820422560962e-05,2.9334697685618e-06,-1.28107466574715e-05,-1.10783348743638e-05,-3.11619847620661e-05,-1.49502797237114e-05,-8.23604255917999e-06,-2.81786984310029e-05,0,-1.11801458951598e-05,9.44932006754246e-06,-3.09776883922266e-05,-4.0630333529493e-05,-5.59392836436303e-05,-5.53300545085091e-05,-5.84669944802955e-05,-4.11708944946804e-05,-0.000542742869339805,-1.59193731427091e-05,0
"V9_1",0,0.000116688745965583,0.000166558056549488,0.000149424570474818,0.000164711065256467,0.000151603294694224,0.000149418297954745,0.000143536418409356,0.00152403929528879,0.000167545483550103,1.00279893569964e-05,0,-4.69891713113247e-05,-2.44292392537146e-05,-4.03846628355207e-05,-4.44188548259922e-05,-7.10138773362401e-05,-7.04069071071088e-05,-0.000519223598979059,-5.03738947833828e-05,-4.63737867482762e-06,-8.40986140111645e-06,0,1.45568605321823e-07,2.50536708988681e-05,-7.33030167558242e-07,1.68764473457993e-05,-3.97450804446891e-06,0.000152503817438701,2.75220656981961e-06,7.59055137099077e-06,7.36216629983296e-05,0.000103844751226893,0,8.50645139097855e-05,7.59656725847917e-05,8.80527429962477e-05,8.30933838146085e-05,0.000813044471994541,9.2397291348591e-05,1.40820865978506e-06,-9.51943075429885e-06,-2.40456882791079e-06,1.09498489684659e-06,0,1.16175704840662e-05,8.77135011445402e-07,1.65554333594252e-05,1.89078002495729e-05,-4.75897105192972e-06,1.27437950862343e-05,-1.41501792477412e-05,-2.11324528515001e-06,3.85702874880073e-06,1.93353969851341e-06,0,-9.16964863375934e-06,-9.12915797759853e-07,4.44535481756214e-06,-7.99851405299147e-06,-1.25759517741771e-05,-2.28182832306099e-05,-4.68120032041141e-06,-4.09353459220622e-06,5.34075702976498e-06,-2.94706655695046e-05,0,-1.45944743435782e-06,-2.97142698634402e-05,-6.90504690397509e-06,2.32382672724785e-05,-6.51829793655002e-05,-5.04186140642619e-05,-5.2667369790522e-05,-5.06737715523536e-05,-4.97772800738733e-05,-6.83521568977879e-05,0,-0.000593518766935703,-4.74634859445444e-05,8.63028149772122e-07,2.32636877639717e-05,1.83855797604972e-05,-8.01478376101961e-07,-6.436485471465e-06,1.38792817792558e-05,-2.52131381526103e-06,2.89356263240781e-06,0,1.20693766179674e-05,1.52136822811075e-05,-3.98599210934877e-05,-3.00285238992851e-05,-5.0133372339419e-05,-7.06959346253241e-05,-5.68559123243152e-05,-4.49546434568074e-05,-4.20713375593036e-05,-0.000516017307468818,0
"V10_1",0,0.000136319788611467,0.0001616076946679,0.000143139267700784,0.000154496119512528,0.000145658903064976,0.000183580684375278,0.000138766799847042,0.000167545483550103,0.00151901646196151,8.62980623502025e-06,0,-5.53384005256079e-05,-2.41835146311424e-05,-4.90993175497194e-05,-4.57785605582761e-05,-8.32208990695542e-05,-4.37222974676109e-05,-7.28369268938575e-05,-0.000520361440633626,7.3141803462877e-06,-2.52626042568923e-07,0,2.40549433464432e-05,4.82609649889796e-05,3.06679181605195e-05,2.46326251172467e-05,-2.58867605079531e-06,1.9039591315137e-05,0.000178591074997875,-3.12885302918901e-05,5.34994010789595e-05,7.76218191351472e-05,0,7.63098467654399e-05,7.1679871376512e-05,7.42882772789175e-05,7.15908611851567e-05,7.94363779793353e-05,0.000789618586686642,2.2124716299487e-05,1.52129437371838e-05,1.08946442536362e-06,1.82073339769503e-05,0,1.33925242706252e-05,-2.31486937047508e-06,1.98220566551807e-05,1.25827502263834e-05,1.12212783662863e-06,1.57209524532898e-05,-2.3755859130039e-05,8.82518936679702e-06,1.36482447987154e-05,7.72914488073973e-06,0,1.21875511413045e-05,3.57892123784643e-06,1.211925347639e-05,1.60346138736784e-05,1.53409686143911e-05,-2.03703289041883e-06,-8.17095172560503e-06,7.85718797970237e-06,1.00670621529649e-05,-1.58449845181547e-05,0,3.02826133066007e-05,-2.33706454096577e-06,1.79186551168171e-05,-3.49152593501844e-06,-1.88575029627239e-05,-7.05888429852915e-05,-5.69253994711416e-05,-5.7706359625993e-05,-4.18783699849298e-05,-7.53565748458687e-05,0,-5.23876318654574e-05,-0.000609017294169081,1.31016896299937e-06,5.31644765467624e-06,1.89259445472963e-05,8.22545474424153e-06,-1.63010046657816e-05,-1.93881500118992e-05,-2.14978252453883e-05,6.54379581598691e-06,0,-5.64725174136854e-06,1.29046520639892e-05,-3.24014840204145e-05,-4.63443003538659e-05,-4.59017315405156e-05,-4.1091742272697e-05,-3.27434573735291e-05,-6.5955939133691e-05,-3.81421959309157e-05,-4.89290029989113e-05,0
