,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V1,0.468,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.025,0.0003333333333333333,0.0,0.0003333333333333333,0.26366666666666666,0.0,0.306,0.0,0.302,0.334,0.0,0.26466666666666666,0.0,0.11566666666666667,0.37166666666666665,0.4533333333333333,0.217,0.111,0.342,0.38266666666666665,0.15933333333333333,0.36333333333333334,0.0033333333333333335,0.11733333333333333,0.4226666666666667,0.3343333333333333,0.23333333333333334,0.013666666666666667,0.48233333333333334,0.35333333333333333,0.36766666666666664
V2,0.48533333333333334,0.4683333333333333,0.08766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.15866666666666668,0.0,0.0,0.0,0.015333333333333332,0.382,0.0,0.32066666666666666,0.018333333333333333,0.49466666666666664,0.0,0.47733333333333333,0.029,0.4166666666666667,0.36933333333333335,0.009,0.0,0.0,0.407,0.0,0.25533333333333336,0.24733333333333332,0.41733333333333333,0.001,0.3416666666666667,0.36133333333333334,0.2966666666666667,0.0,0.47,0.4043333333333333,0.457,0.4723333333333333,0.37533333333333335,0.42133333333333334
V3,0.49466666666666664,0.49333333333333335,0.4673333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.24033333333333334,0.0016666666666666668,0.2793333333333333,0.402,0.0,0.0,0.0,0.0036666666666666666,0.263,0.0,0.0013333333333333333,0.0,0.2613333333333333,0.037333333333333336,0.447,0.36,0.229,0.48966666666666664,0.283,0.0,0.3456666666666667,0.0,0.0006666666666666666,0.492,0.039,0.4573333333333333,0.10333333333333333,0.36433333333333334,0.48633333333333334,0.4886666666666667,0.29033333333333333,0.477,0.33366666666666667,0.3556666666666667,0.496,0.4806666666666667,0.4176666666666667
V4,0.49233333333333335,0.4593333333333333,0.499,0.4826666666666667,0.0,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.35233333333333333,0.0,0.07733333333333334,0.267,0.0,0.0,0.0,0.356,0.0,0.0,0.0,0.0,0.173,0.4676666666666667,0.0,0.29433333333333334,0.24666666666666667,0.0,0.0,0.014333333333333333,0.25866666666666666,0.37566666666666665,0.0,0.18266666666666667,0.4033333333333333,0.22066666666666668,0.4176666666666667,0.035666666666666666,0.44366666666666665,0.465,0.058,0.443,0.29833333333333334,0.0003333333333333333,0.46,0.311,0.0033333333333333335,0.38966666666666666
V5,0.49466666666666664,0.4856666666666667,0.48433333333333334,0.4653333333333333,0.48833333333333334,0.424,0.442,0.0,0.3406666666666667,0.0,0.47633333333333333,0.38866666666666666,0.0,0.446,0.365,0.334,0.005333333333333333,0.2856666666666667,0.158,0.479,0.47933333333333333,0.4706666666666667,0.153,0.45,0.23566666666666666,0.4703333333333333,0.4736666666666667,0.45366666666666666,0.49666666666666665,0.47633333333333333,0.3466666666666667,0.49233333333333335,0.09066666666666667,0.45066666666666666,0.4746666666666667,0.43166666666666664,0.37466666666666665,0.4633333333333333,0.49366666666666664,0.18866666666666668,0.42033333333333334,0.4603333333333333,0.10266666666666667,0.36733333333333335,0.47533333333333333,0.49866666666666665,0.23733333333333334,0.415,0.459,0.413
V6,0.497,0.475,0.473,0.47733333333333333,0.494,0.49133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46166666666666667,0.3016666666666667,0.148,0.44666666666666666,0.112,0.436,0.319,0.0,0.0,0.14266666666666666,0.24466666666666667,0.4023333333333333,0.0,0.32866666666666666,0.16866666666666666,0.424,0.23633333333333334,0.219,0.45666666666666667,0.49466666666666664,0.0,0.25033333333333335,0.3626666666666667,0.30333333333333334,0.3983333333333333,0.3536666666666667,0.0,0.384,0.329,0.12933333333333333,0.416,0.47633333333333333,0.49066666666666664,0.25466666666666665,0.3536666666666667,0.4033333333333333,0.172
V7,0.48633333333333334,0.495,0.49066666666666664,0.4513333333333333,0.48966666666666664,0.48633333333333334,0.484,0.0,0.0,0.0,0.4723333333333333,0.3433333333333333,0.0,0.0,0.48733333333333334,0.321,0.4093333333333333,0.0003333333333333333,0.0,0.4643333333333333,0.3993333333333333,0.0,0.0,0.49333333333333335,0.109,0.36033333333333334,0.095,0.421,0.47633333333333333,0.44033333333333335,0.4646666666666667,0.37666666666666665,0.0,0.19866666666666666,0.15433333333333332,0.4613333333333333,0.4513333333333333,0.4236666666666667,0.4746666666666667,0.06133333333333333,0.4136666666666667,0.06966666666666667,0.49866666666666665,0.0,0.45566666666666666,0.49266666666666664,0.39266666666666666,0.4206666666666667,0.455,0.494
V8,0.49733333333333335,0.485,0.48933333333333334,0.482,0.4766666666666667,0.49066666666666664,0.48,0.499,0.0,0.376,0.47733333333333333,0.0,0.0,0.19533333333333333,0.439,0.37233333333333335,0.097,0.018,0.419,0.26266666666666666,0.496,0.493,0.43033333333333335,0.4683333333333333,0.216,0.44033333333333335,0.09366666666666666,0.3863333333333333,0.405,0.0,0.0,0.43966666666666665,0.16266666666666665,0.4856666666666667,0.42133333333333334,0.38866666666666666,0.4643333333333333,0.0,0.16866666666666666,0.417,0.46066666666666667,0.403,0.427,0.455,0.38,0.47733333333333333,0.442,0.45466666666666666,0.44266666666666665,0.37466666666666665
V9,0.48833333333333334,0.4723333333333333,0.49233333333333335,0.4866666666666667,0.489,0.47533333333333333,0.495,0.49833333333333335,0.48966666666666664,0.0,0.43233333333333335,0.0,0.0,0.49433333333333335,0.3973333333333333,0.12066666666666667,0.0,0.0,0.0,0.4696666666666667,0.0,0.0,0.0,0.0,0.366,0.0006666666666666666,0.0,0.266,0.31366666666666665,0.41933333333333334,0.4146666666666667,0.0,0.0,0.0,0.226,0.46,0.25633333333333336,0.27366666666666667,0.39966666666666667,0.151,0.19533333333333333,0.4073333333333333,0.44233333333333336,0.0,0.41,0.0,0.0,0.40066666666666667,0.4226666666666667,0.4553333333333333
V10,0.49233333333333335,0.49966666666666665,0.491,0.49633333333333335,0.4776666666666667,0.466,0.497,0.4713333333333333,0.49166666666666664,0.49066666666666664,0.496,0.27166666666666667,0.432,0.4796666666666667,0.4886666666666667,0.0,0.4623333333333333,0.418,0.35,0.47933333333333333,0.476,0.007,0.17466666666666666,0.476,0.48833333333333334,0.31166666666666665,0.05566666666666667,0.4786666666666667,0.49166666666666664,0.47733333333333333,0.48933333333333334,0.22466666666666665,0.49366666666666664,0.47633333333333333,0.38433333333333336,0.0,0.49866666666666665,0.479,0.4806666666666667,0.44433333333333336,0.4836666666666667,0.49766666666666665,0.49366666666666664,0.3423333333333333,0.4886666666666667,0.473,0.403,0.492,0.4706666666666667,0.49233333333333335
