,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V1,0.0,0.99,0.9936666666666667,1.0,1.0,0.9993333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17733333333333334,0.9996666666666667,1.0,1.0,1.0,0.7796666666666666,0.9993333333333333,1.0,0.9753333333333334,0.2916666666666667,1.0,0.27566666666666667,1.0,0.25966666666666666,0.227,1.0,0.301,1.0,0.5266666666666666,0.2,0.16666666666666666,0.3433333333333333,0.523,0.2753333333333333,0.194,0.4036666666666667,0.231,0.9793333333333333,0.5566666666666666,0.165,0.22866666666666666,0.33066666666666666,0.884,0.16,0.21366666666666667,0.19666666666666666
V2,0.0,0.0,0.607,0.9996666666666667,1.0,1.0,1.0,1.0,1.0,0.9973333333333333,1.0,1.0,1.0,0.9996666666666667,0.343,1.0,0.3626666666666667,1.0,0.991,1.0,0.847,0.12366666666666666,1.0,0.15533333333333332,0.8446666666666667,0.121,1.0,0.13033333333333333,0.7996666666666666,0.099,0.10633333333333334,0.904,0.9986666666666667,1.0,0.09966666666666667,0.9986666666666667,0.246,0.231,0.09266666666666666,0.965,0.13166666666666665,0.15366666666666667,0.22433333333333333,1.0,0.08633333333333333,0.10966666666666666,0.11933333333333333,0.10633333333333334,0.15666666666666668,0.1
V3,0.0,0.0,0.0,0.9996666666666667,0.9926666666666667,1.0,0.881,1.0,1.0,1.0,1.0,1.0,1.0,0.14066666666666666,0.9633333333333334,0.15666666666666668,0.087,1.0,1.0,1.0,0.9413333333333334,0.23533333333333334,1.0,0.99,1.0,0.22366666666666668,0.654,0.08533333333333333,0.12166666666666667,0.25633333333333336,0.087,0.14033333333333334,1.0,0.12933333333333333,0.9956666666666667,0.974,0.09766666666666667,0.744,0.10366666666666667,0.4866666666666667,0.122,0.07266666666666667,0.108,0.15866666666666668,0.09766666666666667,0.11266666666666666,0.15366666666666667,0.07833333333333334,0.068,0.10966666666666666
V4,0.0,0.0,0.0,0.0,0.999,0.971,1.0,1.0,1.0,0.9996666666666667,1.0,1.0,0.043,0.998,0.5633333333333334,0.189,1.0,1.0,1.0,0.09333333333333334,1.0,1.0,1.0,0.9993333333333333,0.3426666666666667,0.081,1.0,0.148,0.233,1.0,1.0,0.8483333333333334,0.193,0.10033333333333333,1.0,0.2886666666666667,0.08933333333333333,0.2996666666666667,0.085,0.718,0.064,0.07066666666666667,0.7126666666666667,0.08866666666666667,0.18466666666666667,0.992,0.07833333333333334,0.142,0.943,0.10333333333333333
V5,0.0,0.0,0.0,0.0,0.0,0.028666666666666667,0.03666666666666667,1.0,0.030333333333333334,1.0,0.011,0.01633333333333333,1.0,0.06266666666666666,0.048,0.10033333333333333,0.952,0.08766666666666667,0.15,0.013666666666666667,0.050333333333333334,0.023666666666666666,0.15833333333333333,0.012333333333333333,0.163,0.014,0.006,0.037,0.015666666666666666,0.012333333333333333,0.059333333333333335,0.034333333333333334,0.5546666666666666,0.015666666666666666,0.025666666666666667,0.014666666666666666,0.04566666666666667,0.014666666666666666,0.010666666666666666,0.22233333333333333,0.019333333333333334,0.017333333333333333,0.645,0.051666666666666666,0.010666666666666666,0.013333333333333334,0.23533333333333334,0.036,0.019,0.02266666666666667
V6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.044,0.17433333333333334,0.312,0.05,0.4246666666666667,0.027333333333333334,0.12533333333333332,1.0,1.0,0.229,0.25066666666666665,0.08333333333333333,1.0,0.093,0.35233333333333333,0.08633333333333333,0.20066666666666666,0.21933333333333332,0.06466666666666666,0.060333333333333336,1.0,0.269,0.10566666666666667,0.127,0.086,0.12433333333333334,1.0,0.137,0.133,0.5056666666666667,0.10966666666666666,0.066,0.05733333333333333,0.255,0.13833333333333334,0.095,0.3383333333333333
V7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.019,0.024333333333333332,1.0,1.0,0.027666666666666666,0.08033333333333334,0.07366666666666667,0.9763333333333334,1.0,0.034,0.06733333333333333,1.0,1.0,0.027333333333333334,0.432,0.06533333333333333,0.428,0.04666666666666667,0.03333333333333333,0.042,0.018666666666666668,0.06,1.0,0.2643333333333333,0.348,0.028,0.03133333333333333,0.04733333333333333,0.028333333333333332,0.5616666666666666,0.034,0.5696666666666667,0.028,0.9996666666666667,0.036333333333333336,0.035,0.058666666666666666,0.034666666666666665,0.03,0.024666666666666667
V8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.072,0.015333333333333332,1.0,1.0,0.24,0.027,0.09466666666666666,0.49766666666666665,0.7946666666666666,0.050333333333333334,0.13033333333333333,0.02033333333333333,0.07066666666666667,0.012333333333333333,0.013666666666666667,0.2693333333333333,0.055,0.48933333333333334,0.04566666666666667,0.03166666666666667,1.0,1.0,0.09966666666666667,0.41233333333333333,0.017666666666666667,0.044,0.051,0.028333333333333332,1.0,0.3333333333333333,0.05366666666666667,0.021,0.04466666666666667,0.03766666666666667,0.07066666666666667,0.054,0.028666666666666667,0.029333333333333333,0.01633333333333333,0.03133333333333333,0.034
V9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03133333333333333,1.0,1.0,0.021666666666666667,0.05633333333333333,0.361,1.0,1.0,1.0,0.017,1.0,1.0,1.0,1.0,0.06333333333333334,0.9813333333333333,1.0,0.11,0.091,0.051666666666666666,0.03166666666666667,1.0,0.997,1.0,0.171,0.051,0.14566666666666667,0.12133333333333333,0.07566666666666666,0.356,0.23366666666666666,0.04,0.03866666666666667,1.0,0.03666666666666667,1.0,1.0,0.051,0.03933333333333333,0.04033333333333333
V10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0033333333333333335,0.0,0.0,1.0,0.0016666666666666668,0.05433333333333333,0.017666666666666667,0.0,0.0,0.945,0.16233333333333333,0.0,0.0,0.08766666666666667,0.5036666666666667,0.0,0.0,0.0,0.0,0.20466666666666666,0.0,0.002,0.03133333333333333,1.0,0.0,0.0,0.0,0.012666666666666666,0.0006666666666666666,0.0,0.0,0.081,0.0,0.0,0.041666666666666664,0.0,0.0,0.0
